Iteration	Energy_kJ_mol
0	1026029.1529
50	209037.7270
100	9667.8330
150	-9580.4834
200	-39583.5916
250	-46198.8724
300	-47548.1272
350	-48333.4719
400	-48652.1253
450	-48879.7898
500	-49071.3533
550	-49237.1062
600	-49336.0703
650	-49434.0558
700	-49507.3966
750	-49562.7425
800	-49606.6386
850	-49651.8401
900	-49688.9190
950	-49709.9673
1000	-49726.0465
1050	-49726.0767
