Iteration	Energy_kJ_mol
0	5007272.2441
50	51402.9667
100	-14417.0020
150	-39050.1943
200	-40985.5126
250	-42171.4037
300	-46175.9535
350	-47692.2289
400	-48682.2991
450	-49126.5098
500	-49376.8472
550	-49562.9375
600	-49697.0924
650	-49796.9857
700	-49875.9150
750	-49932.2950
800	-49987.7761
850	-50045.5277
900	-50099.6662
950	-50130.3917
1000	-50156.8635
1050	-50183.1070
1100	-50200.6214
1150	-50201.3574
1200	-50201.4015
